InPlay,Velo,SpinRate,HorzBreak,InducedVertBreak
0,91.89,2118.0,12.68,3.43
0,93.73,2330.0,13.67,14.14
0,93.96,2143.0,4.02,17.77
0,97.87,2797.0,7.35,18.92
0,92.88,2140.0,16.12,11.2
0,89.37,2232.0,8.54,12.36
0,93.01,2179.0,11.85,14.02
0,88.24,2036.0,17.18,12.34
0,96.8,2361.0,3.33,17.72
0,92.2,2385.0,4.37,18.98
1,92.02,2290.0,10.02,16.25
0,93.32,2089.0,5.88,17.26
0,96.67,2263.0,16.44,12.29
0,94.45,2168.0,10.29,14.14
1,98.06,2475.0,2.88,17.23
0,98.64,2390.0,11.52,12.8
0,96.71,2225.0,15.07,16.87
0,92.97,2109.0,14.3,6.92
0,97.33,2346.0,15.76,8.45
0,95.45,1967.0,7.13,18.03
0,93.87,2054.0,8.55,15.31
0,95.52,2213.0,10.21,14.96
0,91.82,2169.0,11.79,17.11
0,93.77,2370.0,4.94,21.02
0,95.66,2220.0,4.43,12.33
0,92.75,2153.0,13.01,8.96
0,96.36,1847.0,10.71,15.87
0,92.62,2189.0,2.77,16.11
0,97.78,2587.0,5.74,20.25
1,95.66,2114.0,9.22,15.56
0,97.62,2356.0,8.49,19.65
0,70.79,1504.0,8.99,15.17
0,91.55,1972.0,12.14,5.66
0,92.84,2271.0,19.71,8.43
0,97.17,2234.0,11.93,14.9
0,92.69,2614.0,5.57,19.95
0,90.86,2129.0,1.75,17.48
0,98.89,2431.0,10.48,17.75
0,94.05,2176.0,8.36,16.58
1,94.54,2144.0,13.4,11.8
0,92.62,2437.0,4.02,18.86
0,95.72,2584.0,11.7,16.85
0,94.58,2277.0,10.43,13.14
0,94.16,2336.0,1.9,17.19
1,91.29,1986.0,13.85,8.78
0,96.11,2180.0,10.84,14.74
1,88.59,2151.0,2.7,15.24
1,94.16,2265.0,9.52,14.38
1,91.58,1889.0,13.7,12.65
0,93.35,1991.0,6.55,15.12
0,99.06,2504.0,6.22,20.09
0,92.58,2106.0,3.47,16.35
0,93.64,2154.0,14.91,9.98
0,93.45,2139.0,13.43,13.56
0,95.57,2601.0,0.91,9.88
0,95.47,2133.0,11.27,17.21
1,96.6,2214.0,12.13,5.78
1,93.87,2460.0,8.29,15.88
0,94.67,2516.0,7.79,12.44
1,92.74,2282.0,9.71,18.62
1,96.45,2477.0,20.13,9.71
1,88.42,1864.0,12.74,8.02
0,93.02,2161.0,6.62,15.32
1,98.2,2895.0,12.71,13.58
0,91.73,1762.0,15.52,8.07
1,98.62,2441.0,11.65,11.43
0,95.39,2391.0,13.38,17.23
0,93.91,2269.0,5.4,17.36
0,96.35,2253.0,7.91,14.81
0,92.39,2068.0,16.03,9.23
0,98.64,2249.0,14.63,11.27
1,92.32,2275.0,10.37,16.91
0,95.98,2284.0,11.49,14.6
1,90.76,1762.0,4.47,16.97
0,98.58,2505.0,12.3,19.53
1,93.27,2187.0,9.25,17.05
0,93.45,1974.0,4.71,11.23
1,94.25,2256.0,8.9,18.84
0,93.85,2437.0,4.35,15.88
0,94.87,2242.0,7.98,17.87
0,96.68,2291.0,4.67,17.29
0,67.61,1641.0,15.35,7.25
1,93.97,2278.0,9.1,20.33
0,99.15,2241.0,6.29,17.94
0,92.61,2371.0,8.23,22.68
0,94.96,2181.0,5.34,12.53
0,96.22,2305.0,8.21,17.69
0,97.66,2051.0,14.06,12.57
1,94.15,2155.0,15.01,12.51
0,96.39,2211.0,14.57,10.99
0,92.61,2313.0,9.53,6.04
0,97.21,2339.0,5.86,12.61
1,93.85,2362.0,11.66,14.64
0,92.54,2314.0,-0.5,15.44
0,95.87,2583.0,5.85,23.05
0,92.5,2208.0,5.68,19.68
0,95.99,2283.0,14.07,12.33
0,95.99,2549.0,5.81,16.72
0,94.03,2469.0,7.28,18.47
0,92.9,2088.0,8.79,14.93
0,95.74,2471.0,5.06,14.55
0,92.0,2496.0,3.0,19.04
0,95.5,2431.0,11.44,18.01
0,87.12,1661.0,12.34,8.27
0,94.6,2289.0,6.96,17.33
0,95.96,2616.0,8.3,19.27
1,95.53,2105.0,5.36,17.48
1,91.54,2105.0,5.58,13.83
0,94.27,2020.0,9.25,15.88
0,98.0,2505.0,6.38,13.34
1,96.9,2529.0,10.31,13.02
0,91.17,2298.0,6.89,18.97
0,96.01,2378.0,4.93,11.17
0,96.6,2189.0,15.87,10.77
0,93.21,2356.0,7.43,15.45
0,95.22,2133.0,2.37,14.83
1,91.2,2117.0,2.02,19.23
0,96.71,2430.0,5.15,17.06
1,92.2,2417.0,10.47,12.56
0,96.4,2231.0,7.61,15.81
0,94.82,2050.0,3.4,14.38
1,94.47,2146.0,9.47,15.62
1,92.0,2205.0,12.52,16.7
0,96.14,2462.0,14.0,16.36
1,66.9,1629.0,13.55,14.67
0,96.99,2343.0,8.16,18.53
0,95.16,2287.0,0.95,16.46
0,93.99,2132.0,12.1,11.69
1,94.05,2055.0,12.22,11.21
1,93.1,2210.0,10.94,9.41
1,91.64,2015.0,11.9,5.3
0,92.06,1802.0,12.0,-6.59
1,96.39,1926.0,14.4,7.96
1,93.09,2337.0,11.9,17.49
0,94.61,2320.0,4.0,20.63
0,92.6,2461.0,11.36,13.58
0,93.63,1868.0,16.29,2.18
0,92.22,1927.0,13.72,13.04
0,85.48,2167.0,22.28,2.02
0,94.18,2019.0,19.39,7.67
0,95.06,2217.0,13.57,13.41
1,91.22,2371.0,2.57,16.75
0,92.22,2209.0,7.23,16.01
1,96.7,2383.0,17.38,8.73
1,95.05,2466.0,2.72,18.9
0,94.56,2173.0,4.02,19.47
0,95.99,2659.0,0.62,15.57
0,94.08,2230.0,16.17,6.23
1,92.5,2189.0,18.25,7.51
0,97.36,2294.0,11.19,16.8
1,93.16,2491.0,15.93,7.82
1,88.93,1791.0,13.04,7.06
1,94.86,2570.0,7.17,14.49
0,95.47,2262.0,9.75,16.45
1,95.27,2243.0,17.16,10.96
0,95.07,2460.0,7.51,19.47
0,94.45,2173.0,8.51,16.26
0,95.96,2316.0,9.84,17.76
0,96.87,2486.0,6.76,16.23
0,94.38,2115.0,4.38,19.74
1,91.94,2197.0,11.21,15.38
0,88.07,2209.0,8.6,12.25
0,93.52,1974.0,8.13,16.17
0,97.06,2409.0,7.86,16.67
0,93.32,2399.0,4.52,19.3
1,92.15,2296.0,13.36,11.83
1,87.19,1776.0,14.96,12.47
0,92.26,2342.0,7.52,13.75
0,93.15,2287.0,3.9,18.12
0,91.3,2472.0,11.78,15.49
1,93.3,2024.0,17.48,11.31
0,96.23,2268.0,3.29,17.32
0,93.9,1981.0,16.43,8.58
0,92.82,2031.0,7.16,17.73
0,94.77,2164.0,16.46,0.39
0,91.64,1991.0,18.12,7.58
0,94.64,2286.0,15.17,12.15
0,90.27,2100.0,7.28,13.91
0,92.73,2274.0,9.82,15.28
1,94.05,2335.0,10.36,12.48
0,92.71,2219.0,4.83,15.82
0,98.6,2313.0,17.1,13.24
0,93.63,2462.0,8.21,15.08
0,95.19,2183.0,19.84,11.91
0,90.6,2233.0,-2.45,15.59
1,95.73,2350.0,8.24,19.54
0,94.59,2107.0,15.35,10.21
0,94.12,2468.0,1.45,10.97
0,95.72,2122.0,8.27,17.4
0,97.21,2111.0,13.39,12.78
1,94.95,2204.0,12.47,13.25
0,93.95,2273.0,11.59,17.86
0,94.1,2146.0,2.5,17.73
0,92.12,2298.0,2.18,14.77
0,95.8,2464.0,5.12,16.87
0,89.95,2232.0,4.71,19.91
0,93.63,2294.0,12.36,14.89
0,98.49,2436.0,4.21,19.62
0,93.5,2005.0,13.32,6.7
1,90.01,1906.0,13.79,12.02
0,95.03,1969.0,8.51,17.2
0,94.18,2304.0,5.19,16.36
0,92.98,2074.0,2.2,15.9
1,93.78,2298.0,10.08,17.81
1,96.32,2466.0,11.47,17.71
1,95.83,2138.0,9.47,14.41
0,90.07,2158.0,13.62,5.62
1,94.87,2572.0,4.72,15.86
0,96.59,2251.0,12.1,8.97
0,94.89,2334.0,10.5,15.52
0,94.19,2453.0,6.78,18.42
0,95.52,2478.0,11.14,15.39
0,96.05,2249.0,12.83,17.02
0,91.9,2276.0,11.75,11.94
1,97.51,2414.0,9.08,15.76
0,91.32,2267.0,7.42,14.3
1,93.82,2380.0,16.75,15.0
0,94.09,2093.0,9.23,17.2
0,95.71,2102.0,19.02,13.49
0,96.97,2176.0,14.76,6.07
0,95.22,2591.0,4.25,20.38
0,92.62,2094.0,16.67,15.23
0,98.1,2272.0,7.5,17.31
1,96.99,2244.0,6.49,15.79
0,97.51,2443.0,7.19,16.38
0,93.72,1997.0,15.2,14.1
0,93.8,2418.0,12.63,20.65
1,87.16,1761.0,11.32,9.29
0,94.26,2159.0,8.09,19.2
0,93.05,2135.0,6.42,17.0
0,92.57,2086.0,12.99,13.99
0,90.82,2180.0,7.63,15.24
0,95.91,2058.0,11.72,14.69
0,95.25,2376.0,3.85,22.02
0,92.31,2266.0,1.74,17.06
1,93.53,2181.0,8.9,18.91
0,96.8,2570.0,13.66,18.27
1,93.72,2400.0,9.36,17.98
0,92.5,2322.0,3.95,20.73
1,95.63,2149.0,4.71,18.49
0,96.29,2094.0,8.92,18.1
0,94.16,2218.0,6.08,17.88
0,97.79,2238.0,10.89,15.18
0,90.15,1830.0,17.03,6.82
1,93.31,2026.0,14.6,8.55
0,96.93,2237.0,10.92,10.36
0,96.96,2385.0,5.67,15.64
1,93.85,2198.0,8.41,17.22
0,94.31,2059.0,5.76,19.85
0,90.99,1970.0,2.78,16.54
1,93.31,2110.0,14.87,13.88
1,93.23,1829.0,6.28,13.55
1,94.03,2425.0,8.15,20.97
0,95.01,2424.0,1.69,18.07
0,91.92,1850.0,11.82,4.68
0,89.36,2243.0,14.33,17.98
0,94.91,2275.0,10.33,15.55
0,95.97,2382.0,8.48,17.63
0,94.9,2268.0,13.06,12.45
0,94.72,2232.0,6.48,17.51
0,94.89,2673.0,2.25,12.97
0,92.0,2185.0,6.53,16.63
0,95.93,2316.0,10.83,20.14
0,95.8,2137.0,7.85,16.15
0,95.37,2050.0,3.28,9.68
0,88.19,1781.0,15.35,7.91
0,96.8,2546.0,11.03,18.25
0,91.38,2345.0,18.62,7.91
0,89.31,2236.0,17.9,7.61
0,90.92,2160.0,11.52,16.73
0,93.26,2438.0,6.33,18.79
0,93.66,1962.0,18.04,5.07
0,97.27,2588.0,14.73,16.02
0,94.35,2422.0,3.13,22.16
0,91.24,2178.0,18.61,7.71
0,93.34,2441.0,6.92,18.88
0,93.44,2030.0,13.92,14.27
0,89.29,2201.0,8.81,19.96
1,95.51,2459.0,11.96,16.21
0,94.57,2071.0,13.77,7.35
0,92.32,2324.0,10.49,8.25
1,87.87,2986.0,16.9,14.2
1,94.69,2425.0,9.8,4.88
1,93.81,2253.0,9.54,14.85
0,95.01,2489.0,5.47,19.33
0,94.21,1949.0,11.44,13.13
0,91.3,2051.0,10.46,8.31
0,93.98,2140.0,9.07,17.31
1,94.66,2379.0,14.88,15.21
0,95.5,2160.0,9.29,14.51
0,94.83,2126.0,8.67,15.03
0,94.89,2050.0,14.35,11.8
0,96.17,2353.0,6.54,19.34
1,92.4,2255.0,6.09,15.59
0,92.11,1957.0,13.37,12.06
0,91.96,2189.0,5.79,22.01
1,94.91,2332.0,7.28,19.08
0,89.2,2098.0,15.1,9.34
0,92.36,2322.0,9.18,16.64
0,92.26,2281.0,7.61,16.21
0,91.12,2348.0,12.72,12.59
0,96.27,2114.0,16.34,5.15
0,96.8,2244.0,9.53,12.86
0,91.7,2264.0,14.14,14.87
1,97.8,2031.0,17.74,3.03
0,89.97,2465.0,0.4,10.84
1,95.03,2212.0,16.56,9.46
1,96.04,2490.0,-1.36,11.01
1,91.88,2118.0,13.46,16.41
1,93.72,2373.0,13.07,13.81
0,93.81,2042.0,9.44,13.48
0,95.39,2340.0,11.44,15.2
0,94.03,2257.0,5.77,18.34
0,92.41,2379.0,8.04,17.45
0,94.15,2367.0,0.54,17.54
0,94.24,2055.0,10.74,10.13
0,95.52,2503.0,7.82,18.84
1,95.85,2260.0,13.94,7.87
0,94.03,2014.0,12.76,12.65
1,93.68,2323.0,11.82,18.53
0,99.36,2750.0,12.11,20.62
0,94.39,2155.0,15.5,7.32
0,96.78,2232.0,15.04,11.71
0,94.87,2568.0,9.74,13.45
1,96.37,2331.0,10.62,15.85
0,93.57,2304.0,9.56,20.91
1,94.15,2480.0,-2.11,7.8
1,93.24,1959.0,15.19,9.89
1,93.42,2229.0,4.7,20.32
1,92.54,2334.0,9.56,21.78
1,97.52,2715.0,11.64,10.02
1,93.9,2451.0,-2.36,7.29
0,91.75,1892.0,17.44,5.69
0,91.35,2171.0,16.07,12.51
0,95.81,2282.0,9.91,20.01
0,95.68,2085.0,11.95,17.31
0,94.89,2303.0,1.14,16.39
0,93.78,2512.0,9.94,18.4
0,92.84,2162.0,15.9,12.67
0,94.64,2137.0,14.17,12.9
0,94.03,2188.0,16.49,16.23
0,93.26,1935.0,6.59,15.71
1,90.46,2037.0,10.49,15.24
0,95.06,2313.0,5.35,15.73
0,96.15,2026.0,8.91,16.1
0,97.71,2238.0,9.51,12.59
0,94.7,2244.0,5.15,15.8
0,96.81,2258.0,9.76,17.48
0,94.45,2316.0,14.64,17.56
0,95.56,1984.0,10.62,10.95
0,94.46,2091.0,7.67,14.17
1,94.42,2309.0,9.76,16.51
1,86.48,1797.0,14.2,7.91
0,97.47,2274.0,19.73,7.62
0,96.95,2250.0,2.56,19.7
0,90.47,2144.0,4.63,19.79
0,93.81,2387.0,-3.33,6.92
0,97.27,2557.0,5.34,16.69
1,94.26,2283.0,13.13,11.11
0,96.96,2044.0,15.76,10.81
0,94.03,2291.0,8.06,15.82
0,92.03,1949.0,19.64,8.85
1,91.74,2570.0,4.2,21.83
0,95.46,1990.0,6.71,18.81
1,99.03,2282.0,15.84,11.56
0,94.81,2035.0,16.32,5.08
1,91.96,2043.0,6.61,17.23
0,95.05,2111.0,10.73,13.85
1,94.56,2374.0,8.23,16.63
0,96.16,2286.0,10.63,14.95
0,95.9,2220.0,4.46,13.71
0,94.05,2445.0,5.03,18.07
0,93.77,2386.0,0.62,18.85
1,92.75,2293.0,8.07,17.86
0,94.0,2422.0,-2.69,16.71
0,94.85,2167.0,2.34,17.33
0,94.18,2034.0,12.38,15.69
1,94.22,2433.0,5.62,17.37
0,95.0,2098.0,7.3,15.92
0,97.69,2536.0,7.22,16.55
0,90.59,2215.0,8.37,11.64
0,96.72,2601.0,12.37,18.93
0,97.21,2034.0,17.55,10.14
0,95.32,2275.0,5.74,15.89
1,93.53,2280.0,11.51,15.72
1,90.22,2404.0,17.47,11.45
1,93.74,2562.0,4.97,18.2
0,94.02,2591.0,5.44,19.18
1,92.51,2237.0,15.51,13.79
0,91.81,2270.0,7.71,19.87
0,93.21,2293.0,3.06,12.6
0,96.67,2055.0,15.37,5.24
1,93.99,2275.0,16.4,14.12
0,95.74,2249.0,1.85,13.19
0,93.25,2374.0,15.27,12.21
0,93.45,2259.0,12.76,15.05
0,94.76,2493.0,12.27,9.68
0,93.61,2237.0,7.35,17.3
1,94.69,2464.0,10.35,18.56
1,93.85,2305.0,1.84,11.53
0,95.5,2202.0,13.21,14.43
0,92.64,2106.0,17.75,6.25
0,95.81,2577.0,8.19,16.39
0,98.2,2201.0,16.37,4.02
0,92.3,2116.0,5.07,18.81
0,92.98,1491.0,7.4,16.36
0,95.25,2393.0,6.55,18.48
1,97.2,2545.0,10.58,8.96
0,94.54,2408.0,8.62,18.11
0,94.73,2197.0,12.02,13.89
0,91.61,2182.0,14.69,14.48
0,95.16,2260.0,7.83,16.66
1,89.99,2174.0,2.49,14.73
0,93.93,1785.0,12.21,10.43
0,91.41,2028.0,14.63,5.19
1,96.7,2418.0,1.8,21.11
0,95.89,2675.0,12.57,14.12
0,95.64,2253.0,8.16,15.81
0,89.94,2273.0,8.23,21.29
0,91.64,2458.0,0.29,15.99
0,95.06,2311.0,10.88,12.27
0,91.26,2627.0,16.01,14.39
0,91.04,1863.0,10.49,12.14
1,95.61,2095.0,12.57,13.32
0,93.85,2447.0,9.17,17.22
0,92.67,2261.0,2.7,18.1
0,94.02,2640.0,6.95,18.58
0,91.98,2555.0,4.54,15.56
0,94.2,2131.0,7.87,19.28
1,97.59,2364.0,9.18,18.37
0,94.85,2280.0,19.21,7.51
0,98.45,2160.0,8.48,16.9
0,91.67,2173.0,8.87,8.56
1,92.82,1774.0,8.58,12.29
0,94.34,2339.0,11.54,15.12
1,95.89,2164.0,14.51,12.48
0,92.81,2152.0,15.32,6.22
0,92.55,2047.0,9.26,18.17
0,91.87,2141.0,11.27,13.8
0,97.88,2467.0,4.07,17.69
1,97.13,2596.0,4.61,18.05
0,92.39,2098.0,14.43,16.12
0,98.99,2366.0,10.58,16.12
0,94.11,2055.0,6.62,15.01
0,91.97,2282.0,9.41,18.79
0,97.27,2180.0,8.98,16.68
0,93.05,2121.0,13.87,7.12
0,86.92,1870.0,9.51,12.4
0,90.8,1982.0,12.65,11.26
1,93.62,2159.0,7.44,17.57
0,92.24,2386.0,10.98,17.46
0,98.1,2402.0,4.44,17.1
0,90.85,1872.0,4.32,13.44
0,93.88,2346.0,15.21,14.55
0,93.68,2522.0,2.14,9.88
0,91.48,2111.0,5.5,15.71
1,91.6,2230.0,12.43,14.19
0,93.55,2002.0,14.99,10.14
0,97.51,2396.0,-2.14,19.83
0,89.13,2263.0,8.72,17.41
1,91.2,2065.0,1.24,15.6
0,94.14,2434.0,11.26,16.91
0,95.42,2140.0,9.91,12.51
0,95.56,2419.0,8.79,17.21
0,90.58,2202.0,9.8,18.39
0,95.19,2676.0,7.58,20.21
0,94.35,2427.0,7.39,15.05
0,97.21,2351.0,8.53,16.34
0,93.96,2230.0,12.4,15.13
0,94.99,2126.0,15.41,1.56
0,94.25,2291.0,5.67,13.19
1,93.09,2358.0,7.47,15.06
0,97.76,2215.0,4.11,13.79
1,92.36,2393.0,3.86,12.95
1,93.89,2430.0,3.44,18.0
1,96.11,2109.0,13.97,12.39
0,95.92,2497.0,6.52,17.12
0,92.22,2068.0,14.68,9.34
0,93.74,2253.0,19.7,8.14
0,91.91,2210.0,0.76,16.38
0,96.69,2245.0,17.36,10.49
0,96.47,1988.0,8.18,14.19
0,95.68,2064.0,1.2,17.01
0,98.54,2317.0,3.45,18.92
0,93.12,2093.0,7.38,15.98
0,95.91,1970.0,11.6,12.03
0,93.06,2044.0,3.09,7.29
1,93.77,2233.0,6.9,16.28
0,96.39,2401.0,8.21,18.92
1,94.16,2373.0,12.13,17.52
0,91.22,2202.0,1.64,17.62
0,94.13,2187.0,8.69,17.02
0,92.78,2383.0,5.83,17.77
0,96.73,2257.0,3.53,17.65
0,90.71,2256.0,12.73,14.61
0,94.44,2492.0,6.43,20.6
1,97.22,2125.0,18.61,3.65
1,91.71,2149.0,6.97,14.81
0,98.4,2722.0,9.05,21.25
0,94.59,2387.0,0.52,17.81
1,97.57,2005.0,16.85,5.67
0,97.96,2117.0,8.7,17.9
1,95.99,2386.0,7.31,20.1
1,92.16,2112.0,6.12,15.96
0,92.73,2050.0,9.82,16.12
0,93.5,2371.0,15.4,8.95
0,88.54,2019.0,14.87,7.12
0,95.72,2148.0,17.98,6.69
0,97.18,2281.0,16.44,11.53
0,91.87,2238.0,10.73,15.16
0,92.08,2330.0,17.66,5.36
0,94.45,2281.0,11.03,18.8
0,94.69,2443.0,6.92,18.12
0,96.16,2155.0,7.89,16.05
0,92.77,2071.0,3.77,17.77
1,88.72,1799.0,18.43,10.88
0,93.36,2247.0,6.08,19.13
0,94.47,2402.0,10.53,17.64
1,92.44,2548.0,2.94,10.3
0,96.39,2356.0,9.46,14.33
0,92.94,2304.0,2.0,17.76
0,98.03,1980.0,14.57,6.55
0,96.62,2006.0,14.42,8.82
0,97.86,2313.0,12.07,15.84
0,92.62,1841.0,13.89,6.86
0,93.44,2158.0,5.02,9.1
1,90.94,2337.0,-0.58,15.92
1,97.28,2122.0,21.97,4.41
0,94.45,2154.0,0.74,20.04
1,96.7,2225.0,8.42,12.89
0,96.51,2262.0,18.66,9.66
0,88.97,2177.0,0.23,17.07
0,94.15,2240.0,9.1,20.34
0,94.34,2522.0,11.56,16.73
0,87.8,2043.0,15.15,12.32
0,95.33,2062.0,15.84,7.27
0,96.19,2181.0,9.84,11.85
0,95.81,2004.0,16.69,8.24
1,94.22,2146.0,9.05,19.21
0,90.72,2275.0,14.95,14.07
0,90.77,2260.0,12.26,13.51
0,96.2,2608.0,5.21,20.94
0,91.09,2196.0,10.19,1.49
0,95.83,2380.0,-1.58,18.74
1,86.71,1929.0,15.45,12.32
0,97.28,2260.0,10.06,18.93
0,91.39,2316.0,12.28,8.84
0,91.91,2281.0,4.71,18.03
1,98.4,2264.0,15.42,12.26
0,90.16,2371.0,4.42,15.83
0,94.2,2233.0,11.2,13.14
0,89.91,2052.0,15.29,10.17
0,93.65,2280.0,10.23,16.01
0,94.33,2314.0,8.47,15.82
1,91.56,1833.0,16.89,7.13
0,90.73,2197.0,6.24,16.43
0,92.46,2193.0,15.38,14.02
0,93.03,2272.0,6.39,20.34
0,94.27,1954.0,14.54,6.73
1,93.88,2256.0,4.58,13.81
0,97.24,2142.0,2.39,14.82
0,94.78,2461.0,2.55,13.69
0,90.95,2114.0,20.04,12.78
0,98.38,2414.0,3.52,17.86
0,87.73,1748.0,14.57,9.74
1,92.22,2012.0,12.73,8.99
0,93.1,1898.0,6.73,12.32
1,95.75,2541.0,1.93,18.35
0,95.99,2301.0,14.49,12.97
0,94.81,2085.0,10.0,15.86
0,91.36,2634.0,1.53,15.97
0,92.09,2429.0,3.15,18.91
0,93.12,2105.0,11.31,5.74
0,89.95,1971.0,12.35,14.45
0,93.0,2255.0,15.82,10.48
0,87.39,2135.0,12.31,14.14
0,92.18,2148.0,13.6,13.01
0,91.05,2074.0,5.43,16.92
0,98.1,2338.0,10.68,17.87
0,93.88,1868.0,12.18,14.05
1,94.78,2368.0,10.64,12.44
0,94.67,2266.0,5.75,16.14
0,94.42,2166.0,9.5,17.17
0,93.92,2472.0,4.31,18.1
1,97.36,2010.0,6.34,15.37
0,90.82,1994.0,6.01,16.98
0,93.2,2283.0,3.95,19.25
0,96.31,2635.0,7.96,19.36
0,94.1,2358.0,10.86,18.93
0,97.07,2259.0,1.99,15.63
0,91.36,2270.0,3.17,13.61
1,93.53,2111.0,10.11,17.44
0,98.0,2675.0,16.05,20.08
1,91.23,2035.0,13.38,12.68
0,93.03,2099.0,14.17,4.54
0,90.82,2282.0,13.16,16.16
0,96.2,2175.0,11.84,12.09
0,93.99,2470.0,9.36,19.76
0,96.38,2414.0,16.25,12.99
1,97.37,2143.0,6.29,18.32
1,94.71,2399.0,7.94,18.89
0,93.37,2156.0,14.74,10.95
0,95.47,2513.0,7.23,17.7
1,94.36,2031.0,11.16,12.02
0,94.21,1904.0,12.33,7.46
0,93.09,2242.0,13.03,7.8
0,89.55,1975.0,5.9,14.2
0,96.28,2141.0,9.23,15.19
0,97.91,2845.0,11.88,9.38
0,92.19,2025.0,6.6,16.38
0,92.35,2302.0,7.85,15.11
1,96.85,2353.0,1.62,15.27
0,96.19,2319.0,10.5,12.17
0,96.13,2322.0,2.92,16.69
1,87.75,1970.0,8.43,6.95
0,92.52,2111.0,11.29,11.38
0,95.35,2037.0,3.91,11.77
0,95.3,2141.0,13.96,5.56
0,94.66,2581.0,3.29,20.87
0,93.23,2188.0,5.75,14.22
0,97.14,2341.0,14.15,11.13
0,93.01,2327.0,12.76,5.19
0,94.56,2415.0,12.18,16.74
1,93.06,2263.0,6.39,16.33
1,92.45,2447.0,14.96,14.76
1,91.98,2143.0,7.88,19.21
0,94.16,2345.0,3.89,15.54
0,94.64,2511.0,9.14,20.41
0,92.15,1989.0,6.71,18.7
0,93.42,2215.0,11.12,15.81
0,95.42,2458.0,13.59,12.24
0,91.32,2301.0,6.79,15.74
0,93.2,2187.0,17.32,13.57
0,90.43,2156.0,2.52,17.84
1,96.4,2521.0,3.66,19.05
0,96.01,2543.0,1.15,13.61
0,96.33,2599.0,4.4,19.6
0,93.36,2357.0,3.64,16.86
0,98.47,2488.0,0.83,17.38
0,96.1,2361.0,5.42,17.96
0,92.76,2350.0,7.7,17.94
1,95.67,2297.0,13.33,12.67
1,87.99,2135.0,0.97,15.41
1,93.51,2149.0,11.54,1.51
0,96.77,2493.0,5.21,17.05
0,96.49,2252.0,6.66,19.17
0,92.21,2267.0,19.28,6.75
0,98.91,2124.0,12.78,9.89
0,86.67,1948.0,2.46,15.42
0,94.92,2190.0,13.0,15.89
0,96.14,2410.0,11.11,18.36
0,90.87,1958.0,16.27,3.14
0,95.75,2127.0,7.95,14.72
0,95.88,2618.0,7.0,13.53
0,96.21,2205.0,2.47,17.68
0,86.82,1826.0,15.78,9.61
0,92.99,1849.0,7.53,16.84
0,98.47,2138.0,8.81,12.19
0,94.28,2046.0,2.16,16.98
0,94.2,2341.0,11.71,18.21
1,93.44,2060.0,3.73,15.39
0,94.3,2523.0,10.44,15.03
0,94.47,2347.0,7.92,17.07
0,93.67,2584.0,6.8,12.95
0,92.19,2252.0,11.03,18.61
0,97.85,2490.0,2.87,15.83
0,93.42,2442.0,11.41,18.3
0,97.66,2188.0,12.02,16.16
0,96.58,2487.0,5.23,17.25
1,89.06,1993.0,12.51,7.69
0,94.69,2300.0,11.66,16.11
